N,vol,time
136,1.748691558837891e-01,1.020000000000000e+03
137,1.749786376953125e-01,9.420000000000000e+02
138,1.748699188232422e-01,1.163000000000000e+03
139,1.749832153320313e-01,1.171000000000000e+03
140,1.748706817626953e-01,1.392000000000000e+03
141,1.749877929687500e-01,1.029000000000000e+03
142,1.748718261718750e-01,9.230000000000000e+02
143,1.749923706054688e-01,1.019000000000000e+03
144,1.748725891113281e-01,9.140000000000000e+02
145,1.749965667724610e-01,9.610000000000000e+02
146,1.748733520507813e-01,8.820000000000000e+02
147,1.750003814697266e-01,9.830000000000000e+02
148,1.748741149902344e-01,9.490000000000000e+02
149,1.750045776367188e-01,9.130000000000000e+02
150,1.748748779296875e-01,8.780000000000000e+02
151,1.750083923339844e-01,1.363000000000000e+03
152,1.748760223388672e-01,1.522000000000000e+03
153,1.750122070312500e-01,1.184000000000000e+03
154,1.748767852783203e-01,1.347000000000000e+03
155,1.750160217285157e-01,1.027000000000000e+03
156,1.748775482177735e-01,1.087000000000000e+03
157,1.750194549560547e-01,1.100000000000000e+03
158,1.748786926269532e-01,1.158000000000000e+03
159,1.750228881835938e-01,1.388000000000000e+03
160,1.748794555664063e-01,9.970000000000000e+02
161,1.750263214111328e-01,1.568000000000000e+03
162,1.748802185058594e-01,1.180000000000000e+03
163,1.750297546386719e-01,1.384000000000000e+03
164,1.748813629150391e-01,1.642000000000000e+03
165,1.750328063964844e-01,1.637000000000000e+03
166,1.748821258544922e-01,1.809000000000000e+03
167,1.750362396240235e-01,1.873000000000000e+03
168,1.748828887939453e-01,1.607000000000000e+03
169,1.750392913818360e-01,1.467000000000000e+03
170,1.748840332031250e-01,1.036000000000000e+03
171,1.750423431396484e-01,1.277000000000000e+03
172,1.748847961425781e-01,1.229000000000000e+03
173,1.750453948974609e-01,1.372000000000000e+03
174,1.748859405517578e-01,1.824000000000000e+03
175,1.750480651855469e-01,1.738000000000000e+03
176,1.748867034912110e-01,1.881000000000000e+03
177,1.750511169433594e-01,1.786000000000000e+03
178,1.748874664306641e-01,1.826000000000000e+03
179,1.750537872314453e-01,1.748000000000000e+03
180,1.748886108398438e-01,1.169000000000000e+03
181,1.750564575195312e-01,1.405000000000000e+03
182,1.748893737792969e-01,1.738000000000000e+03
183,1.750591278076172e-01,2.031000000000000e+03
184,1.748905181884766e-01,1.661000000000000e+03
185,1.750617980957031e-01,1.454000000000000e+03
186,1.748912811279297e-01,1.602000000000000e+03
187,1.750640869140625e-01,1.664000000000000e+03
188,1.748920440673828e-01,1.726000000000000e+03
189,1.750667572021485e-01,1.531000000000000e+03
190,1.748931884765625e-01,1.326000000000000e+03
191,1.750690460205078e-01,1.772000000000000e+03
192,1.748939514160157e-01,1.550000000000000e+03
193,1.750713348388672e-01,1.579000000000000e+03
194,1.748950958251953e-01,1.602000000000000e+03
195,1.750736236572266e-01,1.610000000000000e+03
196,1.748958587646485e-01,2.146000000000000e+03
197,1.750759124755859e-01,2.036000000000000e+03
198,1.748966217041016e-01,2.088000000000000e+03
199,1.750782012939453e-01,2.106000000000000e+03
200,1.748977661132813e-01,2.330000000000000e+03
201,1.750804901123047e-01,2.727000000000000e+03
202,1.748985290527344e-01,2.601000000000000e+03
203,1.750827789306641e-01,2.523000000000000e+03
204,1.748992919921875e-01,2.060000000000000e+03
205,1.750846862792969e-01,2.258000000000000e+03
206,1.749004364013672e-01,1.778000000000000e+03
207,1.750865936279297e-01,1.814000000000000e+03
208,1.749011993408203e-01,1.802000000000000e+03
209,1.750888824462891e-01,1.788000000000000e+03
210,1.749023437500000e-01,1.171000000000000e+03
211,1.750907897949219e-01,1.650000000000000e+03
212,1.749031066894531e-01,1.849000000000000e+03
213,1.750926971435547e-01,1.848000000000000e+03
214,1.749038696289063e-01,2.332000000000000e+03
215,1.750946044921875e-01,1.838000000000000e+03
216,1.749046325683594e-01,2.487000000000000e+03
217,1.750965118408203e-01,2.041000000000000e+03
218,1.749057769775391e-01,1.959000000000000e+03
219,1.750984191894531e-01,1.891000000000000e+03
220,1.749065399169922e-01,2.146000000000000e+03
221,1.751003265380860e-01,2.032000000000000e+03
222,1.749073028564453e-01,2.024000000000000e+03
223,1.751018524169922e-01,2.041000000000000e+03
224,1.749084472656250e-01,1.682000000000000e+03
225,1.751037597656250e-01,1.711000000000000e+03
226,1.749092102050782e-01,2.293000000000000e+03
227,1.751052856445313e-01,2.012000000000000e+03
228,1.749099731445313e-01,1.983000000000000e+03
229,1.751071929931640e-01,2.165000000000000e+03
230,1.749107360839844e-01,2.280000000000000e+03
231,1.751087188720703e-01,2.621000000000000e+03
232,1.749114990234375e-01,1.867000000000000e+03
233,1.751102447509766e-01,1.974000000000000e+03
234,1.749126434326172e-01,2.023000000000000e+03
235,1.751121520996094e-01,1.950000000000000e+03
236,1.749134063720703e-01,2.023000000000000e+03
237,1.751136779785156e-01,1.945000000000000e+03
238,1.749141693115235e-01,2.054000000000000e+03
239,1.751152038574219e-01,1.974000000000000e+03
240,1.749149322509766e-01,2.089000000000000e+03
241,1.751167297363281e-01,2.013000000000000e+03
242,1.749160766601563e-01,2.091000000000000e+03
243,1.751182556152344e-01,2.777000000000000e+03
244,1.749168395996094e-01,2.187000000000000e+03
245,1.751194000244141e-01,2.437000000000000e+03
246,1.749176025390625e-01,2.099000000000000e+03
247,1.751209259033203e-01,2.453000000000000e+03
248,1.749183654785156e-01,2.356000000000000e+03
249,1.751224517822266e-01,2.820000000000000e+03
250,1.749191284179688e-01,2.276000000000000e+03
251,1.751239776611328e-01,2.688000000000000e+03
252,1.749198913574219e-01,2.388000000000000e+03
253,1.751251220703125e-01,1.985000000000000e+03
254,1.749206542968750e-01,1.890000000000000e+03
255,1.751266479492188e-01,2.116000000000000e+03
256,1.749214172363281e-01,2.349000000000000e+03
257,1.751277923583985e-01,2.671000000000000e+03
258,1.749221801757813e-01,2.220000000000000e+03
259,1.751293182373047e-01,3.717000000000000e+03
260,1.749233245849610e-01,2.943000000000000e+03
261,1.751304626464844e-01,2.537000000000000e+03
262,1.749240875244141e-01,2.918000000000000e+03
263,1.751316070556641e-01,2.800000000000000e+03
264,1.749248504638672e-01,2.707000000000000e+03
265,1.751331329345703e-01,2.949000000000000e+03
266,1.749256134033203e-01,2.672000000000000e+03
267,1.751342773437500e-01,2.443000000000000e+03
268,1.749263763427735e-01,3.000000000000000e+03
269,1.751354217529297e-01,2.864000000000000e+03
270,1.749271392822266e-01,2.979000000000000e+03
271,1.751365661621094e-01,2.800000000000000e+03
272,1.749279022216797e-01,2.935000000000000e+03
273,1.751377105712891e-01,2.887000000000000e+03
274,1.749286651611328e-01,2.712000000000000e+03
275,1.751388549804688e-01,2.490000000000000e+03
276,1.749294281005860e-01,2.899000000000000e+03
277,1.751403808593750e-01,2.214000000000000e+03
278,1.749301910400391e-01,2.723000000000000e+03
279,1.751411437988282e-01,2.849000000000000e+03
280,1.749309539794922e-01,3.071000000000000e+03
281,1.751422882080078e-01,3.358000000000000e+03
282,1.749317169189453e-01,3.681000000000000e+03
283,1.751434326171875e-01,2.574000000000000e+03
284,1.749324798583985e-01,3.144000000000000e+03
285,1.751445770263672e-01,3.483000000000000e+03
286,1.749332427978516e-01,3.194000000000000e+03
287,1.751457214355469e-01,3.722000000000000e+03
288,1.749340057373047e-01,3.967000000000000e+03
289,1.751468658447266e-01,4.130000000000000e+03
290,1.749343872070313e-01,3.874000000000000e+03
291,1.751476287841797e-01,3.945000000000000e+03
292,1.749351501464844e-01,3.380000000000000e+03
293,1.751487731933594e-01,3.422000000000000e+03
294,1.749359130859375e-01,2.605000000000000e+03
295,1.751499176025391e-01,3.948000000000000e+03
296,1.749366760253906e-01,2.917000000000000e+03
297,1.751506805419922e-01,3.070000000000000e+03
298,1.749374389648438e-01,2.812000000000000e+03
299,1.751518249511719e-01,4.201000000000000e+03
300,1.749382019042969e-01,4.410000000000000e+03
301,1.751525878906250e-01,3.071000000000000e+03
302,1.749389648437500e-01,2.730000000000000e+03
303,1.751537322998047e-01,3.727000000000000e+03
304,1.749397277832032e-01,3.499000000000000e+03
305,1.751548767089844e-01,3.515000000000000e+03
306,1.749404907226563e-01,3.296000000000000e+03
307,1.751556396484375e-01,3.359000000000000e+03
308,1.749408721923829e-01,3.717000000000000e+03
309,1.751564025878906e-01,3.529000000000000e+03
310,1.749416351318360e-01,3.815000000000000e+03
311,1.751575469970703e-01,3.978000000000000e+03
312,1.749423980712891e-01,3.772000000000000e+03
313,1.751583099365235e-01,3.944000000000000e+03
314,1.749431610107422e-01,3.802000000000000e+03
315,1.751590728759766e-01,3.839000000000000e+03
316,1.749439239501953e-01,4.273000000000000e+03
317,1.751602172851563e-01,3.152000000000000e+03
318,1.749443054199219e-01,3.332000000000000e+03
319,1.751609802246094e-01,4.072000000000000e+03
320,1.749450683593750e-01,3.242000000000000e+03
321,1.751617431640625e-01,4.149000000000000e+03
322,1.749458312988282e-01,4.495000000000000e+03
323,1.751625061035156e-01,3.967000000000000e+03
324,1.749465942382813e-01,3.853000000000000e+03
325,1.751636505126953e-01,4.047000000000000e+03
326,1.749469757080079e-01,4.117000000000000e+03
327,1.751644134521485e-01,4.446000000000000e+03
328,1.749477386474610e-01,4.069000000000000e+03
329,1.751651763916016e-01,4.169000000000000e+03
330,1.749485015869141e-01,5.003000000000000e+03
331,1.751659393310547e-01,4.154000000000000e+03
332,1.749488830566406e-01,4.030000000000000e+03
333,1.751667022705078e-01,4.564000000000000e+03
334,1.749496459960938e-01,4.046000000000000e+03
335,1.751674652099610e-01,4.242000000000000e+03
336,1.749504089355469e-01,3.721000000000000e+03
337,1.751682281494141e-01,3.878000000000000e+03
338,1.749511718750000e-01,2.698000000000000e+03
339,1.751689910888672e-01,4.861000000000000e+03
340,1.749515533447266e-01,4.670000000000000e+03
341,1.751697540283203e-01,6.372000000000000e+03
342,1.749523162841797e-01,5.865000000000000e+03
343,1.751705169677735e-01,4.158000000000000e+03
344,1.749530792236328e-01,4.087000000000000e+03
345,1.751712799072266e-01,5.372000000000000e+03
346,1.749534606933594e-01,4.651000000000000e+03
347,1.751720428466797e-01,6.021000000000000e+03
348,1.749542236328125e-01,5.794000000000000e+03
349,1.751728057861328e-01,4.807000000000000e+03
350,1.749549865722657e-01,4.716000000000000e+03
351,1.751735687255860e-01,4.627000000000000e+03
352,1.749553680419922e-01,4.957000000000000e+03
353,1.751743316650391e-01,5.669000000000000e+03
354,1.749561309814453e-01,5.685000000000000e+03
355,1.751747131347656e-01,5.743000000000000e+03
356,1.749565124511719e-01,4.811000000000000e+03
357,1.751754760742188e-01,4.426000000000000e+03
358,1.749572753906250e-01,3.969000000000000e+03
359,1.751762390136719e-01,4.802000000000000e+03
360,1.749580383300782e-01,4.794000000000000e+03
361,1.751770019531250e-01,3.658000000000000e+03
362,1.749584197998047e-01,4.493000000000000e+03
363,1.751777648925781e-01,4.504000000000000e+03
364,1.749591827392578e-01,4.888000000000000e+03
365,1.751781463623047e-01,5.675000000000000e+03
366,1.749595642089844e-01,4.839000000000000e+03
367,1.751789093017578e-01,4.559000000000000e+03
368,1.749603271484375e-01,4.541000000000000e+03
369,1.751796722412110e-01,5.259000000000000e+03
370,1.749607086181641e-01,5.192000000000000e+03
371,1.751800537109375e-01,4.784000000000000e+03
372,1.749614715576172e-01,5.320000000000000e+03
373,1.751808166503906e-01,5.115000000000000e+03
374,1.749618530273438e-01,5.286000000000000e+03
375,1.751815795898438e-01,4.452000000000000e+03
376,1.749626159667969e-01,4.548000000000000e+03
377,1.751819610595703e-01,4.785000000000000e+03
378,1.749633789062500e-01,3.985000000000000e+03
379,1.751827239990235e-01,5.265000000000000e+03
380,1.749637603759766e-01,7.336000000000000e+03
381,1.751834869384766e-01,5.721000000000000e+03
382,1.749645233154297e-01,5.660000000000000e+03
383,1.751838684082032e-01,4.783000000000000e+03
384,1.749649047851563e-01,4.498000000000000e+03
385,1.751846313476563e-01,4.843000000000000e+03
386,1.749656677246094e-01,5.829000000000000e+03
387,1.751850128173829e-01,5.741000000000000e+03
388,1.749660491943360e-01,5.715000000000000e+03
389,1.751857757568360e-01,5.607000000000000e+03
390,1.749664306640625e-01,5.081000000000000e+03
391,1.751861572265626e-01,5.014000000000000e+03
392,1.749671936035156e-01,5.666000000000000e+03
393,1.751869201660157e-01,5.813000000000000e+03
394,1.749675750732422e-01,7.188000000000000e+03
395,1.751873016357422e-01,6.090000000000000e+03
396,1.749683380126953e-01,5.598000000000000e+03
397,1.751880645751953e-01,5.268000000000000e+03
398,1.749687194824219e-01,5.710000000000000e+03
399,1.751884460449219e-01,5.621000000000000e+03
400,1.749694824218750e-01,4.894000000000000e+03
401,1.751869201660157e-01,5.739000000000000e+03
402,1.749698638916016e-01,6.432000000000000e+03
403,1.751853942871094e-01,5.204000000000000e+03
404,1.749706268310547e-01,5.724000000000000e+03
405,1.751838684082032e-01,6.097000000000000e+03
406,1.749710083007813e-01,5.466000000000000e+03
407,1.751819610595703e-01,6.333000000000000e+03
408,1.749713897705078e-01,6.462000000000000e+03
409,1.751804351806641e-01,6.355000000000000e+03
410,1.749721527099609e-01,6.360000000000000e+03
411,1.751789093017578e-01,6.316000000000000e+03
412,1.749725341796875e-01,6.316000000000000e+03
413,1.751773834228516e-01,6.703000000000000e+03
414,1.749732971191406e-01,7.212000000000000e+03
415,1.751758575439453e-01,5.724000000000000e+03
416,1.749736785888672e-01,6.016000000000000e+03
417,1.751747131347656e-01,9.214000000000000e+03
418,1.749740600585938e-01,8.307000000000000e+03
419,1.751731872558594e-01,6.729000000000000e+03
420,1.749748229980469e-01,6.120000000000000e+03
421,1.751716613769532e-01,5.609000000000000e+03
422,1.749752044677735e-01,5.942000000000000e+03
423,1.751701354980469e-01,5.671000000000000e+03
424,1.749755859375000e-01,4.495000000000000e+03
425,1.751686096191407e-01,5.708000000000000e+03
426,1.749763488769531e-01,5.737000000000000e+03
427,1.751674652099610e-01,6.969000000000000e+03
428,1.749767303466797e-01,6.795000000000000e+03
429,1.751659393310547e-01,6.792000000000000e+03
430,1.749771118164063e-01,6.379000000000000e+03
431,1.751647949218750e-01,6.271000000000000e+03
432,1.749778747558594e-01,7.051000000000000e+03
433,1.751632690429688e-01,7.992000000000000e+03
434,1.749782562255860e-01,7.125000000000000e+03
435,1.751621246337891e-01,6.482000000000000e+03
436,1.749786376953125e-01,6.004000000000000e+03
437,1.751605987548828e-01,7.287000000000000e+03
438,1.749794006347656e-01,6.687000000000000e+03
439,1.751594543457031e-01,6.467000000000000e+03
440,1.749797821044922e-01,9.186000000000000e+03
441,1.751583099365235e-01,6.824000000000000e+03
442,1.749801635742188e-01,5.851000000000000e+03
443,1.751567840576172e-01,6.471000000000000e+03
444,1.749809265136719e-01,6.420000000000000e+03
445,1.751556396484375e-01,5.633000000000000e+03
446,1.749813079833984e-01,6.937000000000000e+03
447,1.751544952392578e-01,9.218000000000000e+03
448,1.749816894531250e-01,5.962000000000000e+03
449,1.751533508300782e-01,6.830000000000000e+03
450,1.749824523925781e-01,6.796000000000000e+03
451,1.751522064208985e-01,6.713000000000000e+03
452,1.749828338623047e-01,6.721000000000000e+03
453,1.751510620117188e-01,6.436000000000000e+03
454,1.749832153320313e-01,6.747000000000000e+03
455,1.751499176025391e-01,6.796000000000000e+03
456,1.749835968017578e-01,7.740000000000000e+03
457,1.751487731933594e-01,7.367000000000000e+03
458,1.749839782714844e-01,7.418000000000000e+03
459,1.751476287841797e-01,8.662000000000000e+03
460,1.749847412109375e-01,6.774000000000000e+03
461,1.751464843750000e-01,5.277000000000000e+03
462,1.749851226806640e-01,7.935000000000000e+03
463,1.751453399658203e-01,7.121000000000000e+03
464,1.749855041503906e-01,7.343000000000000e+03
465,1.751441955566406e-01,9.399000000000000e+03
466,1.749858856201172e-01,7.972000000000000e+03
467,1.751430511474610e-01,7.994000000000000e+03
468,1.749866485595703e-01,7.743000000000000e+03
469,1.751419067382813e-01,6.578000000000000e+03
470,1.749870300292969e-01,9.594000000000000e+03
471,1.751411437988282e-01,7.906000000000000e+03
472,1.749874114990234e-01,9.331000000000000e+03
473,1.751399993896485e-01,8.769000000000000e+03
474,1.749877929687500e-01,5.703000000000000e+03
475,1.751388549804688e-01,7.139000000000000e+03
476,1.749885559082031e-01,1.092400000000000e+04
477,1.751377105712891e-01,1.267600000000000e+04
478,1.749889373779297e-01,1.094400000000000e+04
479,1.751369476318360e-01,8.493000000000000e+03
480,1.749893188476563e-01,8.028000000000000e+03
481,1.751358032226563e-01,6.922000000000000e+03
482,1.749897003173828e-01,7.617000000000000e+03
483,1.751350402832031e-01,7.466000000000000e+03
484,1.749900817871094e-01,8.769000000000000e+03
485,1.751338958740235e-01,9.537000000000000e+03
486,1.749904632568360e-01,9.196000000000000e+03
487,1.751327514648438e-01,8.234000000000000e+03
488,1.749912261962891e-01,8.028000000000000e+03
489,1.751319885253906e-01,9.076000000000000e+03
490,1.749916076660156e-01,7.965000000000000e+03
491,1.751312255859375e-01,7.559000000000000e+03
492,1.749919891357422e-01,8.101000000000000e+03
493,1.751300811767578e-01,7.937000000000000e+03
494,1.749923706054688e-01,7.419000000000000e+03
495,1.751293182373047e-01,8.976000000000000e+03
496,1.749927520751953e-01,9.153000000000000e+03
497,1.751281738281250e-01,7.381000000000000e+03
498,1.749931335449219e-01,8.024000000000000e+03
499,1.751274108886719e-01,9.460000000000000e+03
500,1.749938964843750e-01,8.335000000000000e+03
501,1.751266479492188e-01,8.958000000000000e+03
502,1.749942779541016e-01,1.071200000000000e+04
503,1.751255035400391e-01,9.250000000000000e+03
504,1.749946594238281e-01,9.001000000000000e+03
505,1.751247406005859e-01,9.015000000000000e+03
506,1.749950408935547e-01,9.821000000000000e+03
507,1.751239776611328e-01,8.968000000000000e+03
508,1.749954223632813e-01,7.668000000000000e+03
509,1.751232147216797e-01,1.092000000000000e+04
510,1.749958038330078e-01,9.700000000000000e+03
511,1.751220703125000e-01,6.236000000000000e+03
512,1.749961853027344e-01,9.450000000000000e+03
513,1.751213073730469e-01,8.213000000000000e+03
514,1.749965667724610e-01,8.662000000000000e+03
515,1.751205444335938e-01,8.864000000000000e+03
516,1.749969482421875e-01,8.402000000000000e+03
517,1.751197814941406e-01,9.514000000000000e+03
518,1.749977111816406e-01,9.535000000000000e+03
519,1.751190185546875e-01,9.110000000000000e+03
520,1.749980926513672e-01,1.107000000000000e+04
521,1.751182556152344e-01,9.372000000000000e+03
522,1.749984741210938e-01,8.246000000000000e+03
523,1.751174926757813e-01,9.303000000000000e+03
524,1.749988555908203e-01,1.185600000000000e+04
525,1.751167297363281e-01,9.651000000000000e+03
526,1.749992370605469e-01,1.187400000000000e+04
527,1.751159667968750e-01,8.699000000000000e+03
528,1.749996185302735e-01,9.598000000000000e+03
529,1.751152038574219e-01,1.147600000000000e+04
530,1.750000000000000e-01,2.948000000000000e+03
531,1.751144409179688e-01,8.573000000000000e+03
532,1.750003814697266e-01,9.389000000000000e+03
533,1.751136779785156e-01,9.321000000000000e+03
534,1.750007629394532e-01,9.663000000000000e+03
535,1.751129150390625e-01,9.117000000000000e+03
536,1.750011444091797e-01,1.055600000000000e+04
537,1.751121520996094e-01,1.137400000000000e+04
538,1.750015258789063e-01,8.930000000000000e+03
539,1.751113891601563e-01,8.694000000000000e+03
540,1.750019073486328e-01,9.838000000000000e+03
541,1.751106262207031e-01,9.253000000000000e+03
542,1.750022888183594e-01,9.330000000000000e+03
543,1.751102447509766e-01,9.765000000000000e+03
544,1.750026702880859e-01,1.045300000000000e+04
545,1.751094818115234e-01,1.085500000000000e+04
546,1.750030517578125e-01,9.520000000000000e+03
547,1.751087188720703e-01,1.138900000000000e+04
548,1.750034332275391e-01,1.153400000000000e+04
549,1.751079559326172e-01,1.065700000000000e+04
550,1.750038146972656e-01,9.692000000000000e+03
551,1.751075744628906e-01,1.033100000000000e+04
552,1.750041961669922e-01,1.014800000000000e+04
553,1.751068115234375e-01,8.549000000000000e+03
554,1.750045776367188e-01,9.909000000000000e+03
555,1.751060485839844e-01,1.073800000000000e+04
556,1.750049591064453e-01,1.125500000000000e+04
557,1.751052856445313e-01,1.025500000000000e+04
558,1.750053405761719e-01,1.174200000000000e+04
559,1.751049041748047e-01,1.009700000000000e+04
560,1.750057220458985e-01,1.029600000000000e+04
561,1.751041412353516e-01,1.035100000000000e+04
562,1.750061035156250e-01,8.347000000000000e+03
563,1.751033782958984e-01,1.042800000000000e+04
564,1.750064849853516e-01,1.112100000000000e+04
565,1.751029968261719e-01,1.119800000000000e+04
566,1.750068664550781e-01,1.043200000000000e+04
567,1.751022338867188e-01,1.040900000000000e+04
568,1.750072479248047e-01,1.084000000000000e+04
569,1.751018524169922e-01,1.085700000000000e+04
570,1.750076293945313e-01,1.007200000000000e+04
571,1.751010894775391e-01,1.314000000000000e+04
572,1.750080108642578e-01,1.277100000000000e+04
573,1.751007080078125e-01,1.028900000000000e+04
574,1.750083923339844e-01,1.132600000000000e+04
575,1.750999450683594e-01,1.175100000000000e+04
576,1.750087738037110e-01,1.347000000000000e+04
577,1.750991821289063e-01,1.325700000000000e+04
578,1.750091552734375e-01,1.076000000000000e+04
579,1.750988006591797e-01,1.110700000000000e+04
580,1.750095367431641e-01,1.083100000000000e+04
581,1.750980377197266e-01,1.151300000000000e+04
582,1.750099182128906e-01,1.041400000000000e+04
